resultNumber,censusMetropolitanArea,province,forwardSortationAreaCodes,testDurationInDays,averageRadonConcentrationInBqPerM3,averageThoronConcentrationInBqPerM3,latitude,longitude
2905,Trois-Rivieres CMA,QC,G8T,113,85,17.0,46.3877,-72.5357
2906,Trois-Rivieres CMA,QC,G8T,90,82,14.0,46.3877,-72.5357
2907,Trois-Rivieres CMA,QC,G8T,101,29,14.0,46.3877,-72.5357
2908,Trois-Rivieres CMA,QC,G8T,92,14,14.0,46.3877,-72.5357
2910,Trois-Rivieres CMA,QC,G8V,99,28,18.0,46.4098,-72.4908
2911,Trois-Rivieres CMA,QC,G8V,91,21,22.0,46.4098,-72.4908
2912,Trois-Rivieres CMA,QC,G8V,113,33,14.0,46.4098,-72.4908
2913,Trois-Rivieres CMA,QC,G8V,91,44,14.0,46.4098,-72.4908
2914,Trois-Rivieres CMA,QC,G8V,93,16,98.0,46.4098,-72.4908
2915,Trois-Rivieres CMA,QC,G8V,93,21,18.0,46.4098,-72.4908
2916,Trois-Rivieres CMA,QC,G8V,91,75,14.0,46.4098,-72.4908
2917,Trois-Rivieres CMA,QC,G8W,112,42,14.0,46.4176,-72.6372
2918,Trois-Rivieres CMA,QC,G8W,99,46,14.0,46.4176,-72.6372
2919,Trois-Rivieres CMA,QC,G8W,92,66,14.0,46.4176,-72.6372
2920,Trois-Rivieres CMA,QC,G8W,91,17,14.0,46.4176,-72.6372
2921,Trois-Rivieres CMA,QC,G8W,90,52,14.0,46.4176,-72.6372
2922,Trois-Rivieres CMA,QC,G8W,100,46,14.0,46.4176,-72.6372
2923,Trois-Rivieres CMA,QC,G8W,105,41,14.0,46.4176,-72.6372
2924,Trois-Rivieres CMA,QC,G8W,90,31,14.0,46.4176,-72.6372
2925,Trois-Rivieres CMA,QC,G8W,93,59,14.0,46.4176,-72.6372
2926,Trois-Rivieres CMA,QC,G8W,92,14,14.0,46.4176,-72.6372
2927,Trois-Rivieres CMA,QC,G8W,92,20,14.0,46.4176,-72.6372
2928,Trois-Rivieres CMA,QC,G8W,91,35,14.0,46.4176,-72.6372
2929,Trois-Rivieres CMA,QC,G8W,92,40,16.0,46.4176,-72.6372
2930,Trois-Rivieres CMA,QC,G8Y,92,41,14.0,46.3668,-72.6168
2931,Trois-Rivieres CMA,QC,G8Y,97,17,14.0,46.3668,-72.6168
2932,Trois-Rivieres CMA,QC,G8Y,110,54,33.0,46.3668,-72.6168
2933,Trois-Rivieres CMA,QC,G8Y,91,49,14.0,46.3668,-72.6168
2934,Trois-Rivieres CMA,QC,G8Y,91,58,17.0,46.3668,-72.6168
2935,Trois-Rivieres CMA,QC,G8Y,101,42,14.0,46.3668,-72.6168
2936,Trois-Rivieres CMA,QC,G8Y,95,16,14.0,46.3668,-72.6168
2937,Trois-Rivieres CMA,QC,G8Y,95,50,14.0,46.3668,-72.6168
2938,Trois-Rivieres CMA,QC,G8Y,91,14,14.0,46.3668,-72.6168
2939,Trois-Rivieres CMA,QC,G8Y,91,24,14.0,46.3668,-72.6168
2940,Trois-Rivieres CMA,QC,G8Y,90,55,14.0,46.3668,-72.6168
2941,Trois-Rivieres CMA,QC,G8Y,107,61,14.0,46.3668,-72.6168
2942,Trois-Rivieres CMA,QC,G8Y,92,54,14.0,46.3668,-72.6168
2943,Trois-Rivieres CMA,QC,G8Y,99,32,14.0,46.3668,-72.6168
2944,Trois-Rivieres CMA,QC,G8Y,90,60,14.0,46.3668,-72.6168
2945,Trois-Rivieres CMA,QC,G8Y,92,67,14.0,46.3668,-72.6168
2946,Trois-Rivieres CMA,QC,G8Y,91,57,14.0,46.3668,-72.6168
2947,Trois-Rivieres CMA,QC,G8Z,123,16,22.0,46.3458,-72.5716
2948,Trois-Rivieres CMA,QC,G8Z,98,31,14.0,46.3458,-72.5716
2949,Trois-Rivieres CMA,QC,G8Z,91,70,14.0,46.3458,-72.5716
2950,Trois-Rivieres CMA,QC,G8Z,91,40,14.0,46.3458,-72.5716
2951,Trois-Rivieres CMA,QC,G8Z,91,34,22.0,46.3458,-72.5716
2952,Trois-Rivieres CMA,QC,G8Z,91,45,21.0,46.3458,-72.5716
2953,Trois-Rivieres CMA,QC,G8Z,91,63,14.0,46.3458,-72.5716
2954,Trois-Rivieres CMA,QC,G8Z,91,35,14.0,46.3458,-72.5716
2955,Trois-Rivieres CMA,QC,G8Z,94,34,19.0,46.3458,-72.5716
2956,Trois-Rivieres CMA,QC,G8Z,94,35,14.0,46.3458,-72.5716
2957,Trois-Rivieres CMA,QC,G8Z,91,29,14.0,46.3458,-72.5716
2958,Trois-Rivieres CMA,QC,G8Z,93,56,14.0,46.3458,-72.5716
2959,Trois-Rivieres CMA,QC,G8Z,97,21,14.0,46.3458,-72.5716
2960,Trois-Rivieres CMA,QC,G9A,92,14,45.0,46.3695,-72.6789
2961,Trois-Rivieres CMA,QC,G9A,91,25,14.0,46.3695,-72.6789
2962,Trois-Rivieres CMA,QC,G9A,91,46,14.0,46.3695,-72.6789
2963,Trois-Rivieres CMA,QC,G9A,93,49,28.0,46.3695,-72.6789
2964,Trois-Rivieres CMA,QC,G9A,90,38,22.0,46.3695,-72.6789
2965,Trois-Rivieres CMA,QC,G9A,91,93,14.0,46.3695,-72.6789
2966,Trois-Rivieres CMA,QC,G9A,91,23,14.0,46.3695,-72.6789
2967,Trois-Rivieres CMA,QC,G9A,92,24,14.0,46.3695,-72.6789
2968,Trois-Rivieres CMA,QC,G9A,91,21,14.0,46.3695,-72.6789
2969,Trois-Rivieres CMA,QC,G9B,92,38,14.0,46.316,-72.6833
2970,Trois-Rivieres CMA,QC,G9B,90,21,14.0,46.316,-72.6833
2971,Trois-Rivieres CMA,QC,G9B,98,14,14.0,46.316,-72.6833
2972,Trois-Rivieres CMA,QC,G9B,91,33,14.0,46.316,-72.6833
2973,Trois-Rivieres CMA,QC,G9B,90,92,14.0,46.316,-72.6833
2974,Trois-Rivieres CMA,QC,G9B,92,27,14.0,46.316,-72.6833
2975,Trois-Rivieres CMA,QC,G9B,93,40,14.0,46.316,-72.6833
2976,Trois-Rivieres CMA,QC,G9B,99,23,16.0,46.316,-72.6833
2977,Trois-Rivieres CMA,QC,G9B,96,36,14.0,46.316,-72.6833
2978,Trois-Rivieres CMA,QC,G9B,91,59,14.0,46.316,-72.6833
2979,Trois-Rivieres CMA,QC,G9B,91,78,14.0,46.316,-72.6833
2980,Trois-Rivieres CMA,QC,G9B,117,21,14.0,46.316,-72.6833
2981,Trois-Rivieres CMA,QC,G9B,92,34,14.0,46.316,-72.6833
2982,Trois-Rivieres CMA,QC,G9B,110,28,14.0,46.316,-72.6833
2983,Trois-Rivieres CMA,QC,G9B,103,68,14.0,46.316,-72.6833
2984,Trois-Rivieres CMA,QC,G9C,98,22,14.0,46.3922,-72.6725
2985,Trois-Rivieres CMA,QC,G9C,95,36,21.0,46.3922,-72.6725
2986,Trois-Rivieres CMA,QC,G9C,91,50,14.0,46.3922,-72.6725
2987,Trois-Rivieres CMA,QC,G9C,98,36,25.0,46.3922,-72.6725
2988,Trois-Rivieres CMA,QC,G9C,90,101,31.0,46.3922,-72.6725
2989,Trois-Rivieres CMA,QC,G9C,91,89,14.0,46.3922,-72.6725
2990,Trois-Rivieres CMA,QC,G9C,97,62,14.0,46.3922,-72.6725
2992,Regina CMA,SK,S4L,90,73,14.0,50.4132,-104.2733
2993,Regina CMA,SK,S4L,97,129,14.0,50.4132,-104.2733
2994,Regina CMA,SK,S4L,91,105,20.0,50.4132,-104.2733
2995,Regina CMA,SK,S4L,93,74,22.0,50.4132,-104.2733
2996,Regina CMA,SK,S4L,91,230,22.0,50.4132,-104.2733
2997,Regina CMA,SK,S4N,93,270,14.0,50.4671,-104.541
2998,Regina CMA,SK,S4N,102,64,14.0,50.4671,-104.541
2999,Regina CMA,SK,S4N,101,599,25.0,50.4671,-104.541
3000,Regina CMA,SK,S4N,91,97,14.0,50.4671,-104.541
3001,Regina CMA,SK,S4N,91,254,14.0,50.4671,-104.541
3002,Regina CMA,SK,S4N,91,448,31.0,50.4671,-104.541
3003,Regina CMA,SK,S4N,100,108,14.0,50.4671,-104.541
3004,Regina CMA,SK,S4N,92,212,14.0,50.4671,-104.541
3005,Regina CMA,SK,S4N,93,336,14.0,50.4671,-104.541
3006,Regina CMA,SK,S4N,90,102,14.0,50.4671,-104.541
3007,Regina CMA,SK,S4N,90,306,14.0,50.4671,-104.541
3008,Regina CMA,SK,S4N,94,145,14.0,50.4671,-104.541
3009,Regina CMA,SK,S4N,91,29,19.0,50.4671,-104.541
3010,Regina CMA,SK,S4N,97,306,14.0,50.4671,-104.541
3011,Regina CMA,SK,S4P,90,190,78.0,50.419,-104.6774
3012,Regina CMA,SK,S4P,91,106,14.0,50.419,-104.6774
3013,Regina CMA,SK,S4P,93,200,14.0,50.419,-104.6774
3014,Regina CMA,SK,S4P,91,630,14.0,50.419,-104.6774
3015,Regina CMA,SK,S4P,98,142,14.0,50.419,-104.6774
3016,Regina CMA,SK,S4P,119,239,14.0,50.419,-104.6774
3017,Regina CMA,SK,S4P,124,80,14.0,50.419,-104.6774
3018,Regina CMA,SK,S4P,91,153,38.0,50.419,-104.6774
3019,Regina CMA,SK,S4P,101,209,14.0,50.419,-104.6774
3020,Regina CMA,SK,S4R,92,630,14.0,50.4855,-104.6163
3021,Regina CMA,SK,S4R,103,245,20.0,50.4855,-104.6163
3022,Regina CMA,SK,S4R,97,375,14.0,50.4855,-104.6163
3023,Regina CMA,SK,S4R,93,750,14.0,50.4855,-104.6163
3024,Regina CMA,SK,S4R,90,1133,14.0,50.4855,-104.6163
3025,Regina CMA,SK,S4R,118,733,14.0,50.4855,-104.6163
3026,Regina CMA,SK,S4R,91,721,14.0,50.4855,-104.6163
3027,Regina CMA,SK,S4R,91,313,14.0,50.4855,-104.6163
3028,Regina CMA,SK,S4R,92,647,14.0,50.4855,-104.6163
3029,Regina CMA,SK,S4R,95,293,14.0,50.4855,-104.6163
3030,Regina CMA,SK,S4R,97,229,14.0,50.4855,-104.6163
3031,Regina CMA,SK,S4R,92,173,14.0,50.4855,-104.6163
3032,Regina CMA,SK,S4R,110,470,14.0,50.4855,-104.6163
3033,Regina CMA,SK,S4S,91,354,14.0,50.4153,-104.6103
3034,Regina CMA,SK,S4S,91,195,14.0,50.4153,-104.6103
3035,Regina CMA,SK,S4S,101,183,14.0,50.4153,-104.6103
3036,Regina CMA,SK,S4S,91,175,14.0,50.4153,-104.6103
3037,Regina CMA,SK,S4S,91,131,14.0,50.4153,-104.6103
3038,Regina CMA,SK,S4S,92,796,14.0,50.4153,-104.6103
3039,Regina CMA,SK,S4S,93,105,14.0,50.4153,-104.6103
3040,Regina CMA,SK,S4S,100,399,14.0,50.4153,-104.6103
3041,Regina CMA,SK,S4S,91,1335,60.0,50.4153,-104.6103
3042,Regina CMA,SK,S4S,94,204,14.0,50.4153,-104.6103
3043,Regina CMA,SK,S4S,93,1109,14.0,50.4153,-104.6103
3044,Regina CMA,SK,S4S,93,1039,14.0,50.4153,-104.6103
3045,Regina CMA,SK,S4S,97,195,14.0,50.4153,-104.6103
3046,Regina CMA,SK,S4S,90,64,14.0,50.4153,-104.6103
3047,Regina CMA,SK,S4S,120,228,14.0,50.4153,-104.6103
3048,Regina CMA,SK,S4S,96,92,14.0,50.4153,-104.6103
3049,Regina CMA,SK,S4T,91,766,14.0,50.4507,-104.665
3050,Regina CMA,SK,S4T,111,707,14.0,50.4507,-104.665
3051,Regina CMA,SK,S4T,91,175,14.0,50.4507,-104.665
3052,Regina CMA,SK,S4T,91,231,14.0,50.4507,-104.665
3053,Regina CMA,SK,S4T,91,301,14.0,50.4507,-104.665
3054,Regina CMA,SK,S4T,92,104,27.0,50.4507,-104.665
3055,Regina CMA,SK,S4T,91,388,14.0,50.4507,-104.665
3056,Regina CMA,SK,S4T,91,206,14.0,50.4507,-104.665
3057,Regina CMA,SK,S4T,92,241,14.0,50.4507,-104.665
3058,Regina CMA,SK,S4T,59,240,14.0,50.4507,-104.665
3059,Regina CMA,SK,S4T,91,220,14.0,50.4507,-104.665
3060,Regina CMA,SK,S4T,95,474,14.0,50.4507,-104.665
3061,Regina CMA,SK,S4T,92,438,14.0,50.4507,-104.665
3062,Regina CMA,SK,S4T,92,151,23.0,50.4507,-104.665
3063,Regina CMA,SK,S4V,96,95,14.0,50.4251,-104.5389
3064,Regina CMA,SK,S4V,90,255,14.0,50.4251,-104.5389
3065,Regina CMA,SK,S4V,90,196,14.0,50.4251,-104.5389
3066,Regina CMA,SK,S4V,92,145,14.0,50.4251,-104.5389
3067,Regina CMA,SK,S4V,149,127,14.0,50.4251,-104.5389
3068,Regina CMA,SK,S4V,91,185,14.0,50.4251,-104.5389
3069,Regina CMA,SK,S4V,93,382,14.0,50.4251,-104.5389
3070,Regina CMA,SK,S4W,91,285,14.0,50.4078,-104.6536
3071,Regina CMA,SK,S4W,91,282,14.0,50.4078,-104.6536
3072,Regina CMA,SK,S4X,91,78,14.0,50.5061,-104.6752
3073,Regina CMA,SK,S4X,91,293,14.0,50.5061,-104.6752
3074,Regina CMA,SK,S4X,92,93,14.0,50.5061,-104.6752
3075,Regina CMA,SK,S4X,94,488,14.0,50.5061,-104.6752
3076,Regina CMA,SK,S4X,91,247,19.0,50.5061,-104.6752
3077,Regina CMA,SK,S4X,91,200,14.0,50.5061,-104.6752
3078,Regina CMA,SK,S4X,104,242,14.0,50.5061,-104.6752
3079,Regina CMA,SK,S4X,91,143,14.0,50.5061,-104.6752
3080,Regina CMA,SK,S4X,97,137,14.0,50.5061,-104.6752
3081,Regina CMA,SK,S4Y,99,94,14.0,50.4768,-104.6986
3082,Regina CMA,SK,S4Y,94,190,14.0,50.4768,-104.6986
3083,Regina CMA,SK,S4Y,95,191,14.0,50.4768,-104.6986
3084,Regina CMA,SK,S4Y,94,170,14.0,50.4768,-104.6986
3085,Regina CMA,SK,S4Y,91,183,14.0,50.4768,-104.6986
3086,Regina CMA,SK,S4Y,91,377,14.0,50.4768,-104.6986
3088,Saskatoon CMA,SK,S7H,99,57,14.0,52.1168,-106.6345
3089,Saskatoon CMA,SK,S7H,91,148,14.0,52.1168,-106.6345
3090,Saskatoon CMA,SK,S7H,90,116,17.0,52.1168,-106.6345
3091,Saskatoon CMA,SK,S7H,96,115,14.0,52.1168,-106.6345
3092,Saskatoon CMA,SK,S7H,96,142,14.0,52.1168,-106.6345
3093,Saskatoon CMA,SK,S7H,100,78,14.0,52.1168,-106.6345
3094,Saskatoon CMA,SK,S7H,88,274,14.0,52.1168,-106.6345
3095,Saskatoon CMA,SK,S7H,91,86,14.0,52.1168,-106.6345
3096,Saskatoon CMA,SK,S7H,92,229,14.0,52.1168,-106.6345
3097,Saskatoon CMA,SK,S7H,92,424,14.0,52.1168,-106.6345
3098,Saskatoon CMA,SK,S7H,92,264,14.0,52.1168,-106.6345
3099,Saskatoon CMA,SK,S7H,93,170,25.0,52.1168,-106.6345
3100,Saskatoon CMA,SK,S7H,92,236,14.0,52.1168,-106.6345
3101,Saskatoon CMA,SK,S7H,92,136,14.0,52.1168,-106.6345
3102,Saskatoon CMA,SK,S7H,91,100,14.0,52.1168,-106.6345
3103,Saskatoon CMA,SK,S7H,91,217,36.0,52.1168,-106.6345
3104,Saskatoon CMA,SK,S7J,97,83,14.0,52.0961,-106.6252
3105,Saskatoon CMA,SK,S7J,91,96,14.0,52.0961,-106.6252
3106,Saskatoon CMA,SK,S7J,91,102,14.0,52.0961,-106.6252
3107,Saskatoon CMA,SK,S7J,94,159,14.0,52.0961,-106.6252
3108,Saskatoon CMA,SK,S7J,91,96,14.0,52.0961,-106.6252
3109,Saskatoon CMA,SK,S7J,106,105,14.0,52.0961,-106.6252
3110,Saskatoon CMA,SK,S7J,100,81,14.0,52.0961,-106.6252
3111,Saskatoon CMA,SK,S7J,95,99,14.0,52.0961,-106.6252
3112,Saskatoon CMA,SK,S7J,91,146,46.0,52.0961,-106.6252
3113,Saskatoon CMA,SK,S7J,92,63,14.0,52.0961,-106.6252
3114,Saskatoon CMA,SK,S7J,90,169,14.0,52.0961,-106.6252
3115,Saskatoon CMA,SK,S7J,118,116,14.0,52.0961,-106.6252
3116,Saskatoon CMA,SK,S7J,91,118,16.0,52.0961,-106.6252
3117,Saskatoon CMA,SK,S7K,91,163,19.0,52.0111,-106.7955
3118,Saskatoon CMA,SK,S7K,181,123,14.0,52.0111,-106.7955
3119,Saskatoon CMA,SK,S7K,91,60,14.0,52.0111,-106.7955
3120,Saskatoon CMA,SK,S7K,92,129,14.0,52.0111,-106.7955
3121,Saskatoon CMA,SK,S7K,98,94,14.0,52.0111,-106.7955
3122,Saskatoon CMA,SK,S7K,91,116,18.0,52.0111,-106.7955
3123,Saskatoon CMA,SK,S7K,91,79,14.0,52.0111,-106.7955
3124,Saskatoon CMA,SK,S7K,91,129,14.0,52.0111,-106.7955
3125,Saskatoon CMA,SK,S7K,92,154,14.0,52.0111,-106.7955
3126,Saskatoon CMA,SK,S7K,91,239,14.0,52.0111,-106.7955
3127,Saskatoon CMA,SK,S7K,91,162,34.0,52.0111,-106.7955
3128,Saskatoon CMA,SK,S7K,92,187,23.0,52.0111,-106.7955
3129,Saskatoon CMA,SK,S7K,93,248,14.0,52.0111,-106.7955
3130,Saskatoon CMA,SK,S7K,62,135,14.0,52.0111,-106.7955
3131,Saskatoon CMA,SK,S7K,90,160,14.0,52.0111,-106.7955
3132,Saskatoon CMA,SK,S7K,92,198,14.0,52.0111,-106.7955
3133,Saskatoon CMA,SK,S7L,95,161,14.0,52.1564,-106.6873
3134,Saskatoon CMA,SK,S7L,95,191,14.0,52.1564,-106.6873
3135,Saskatoon CMA,SK,S7L,91,196,30.0,52.1564,-106.6873
3136,Saskatoon CMA,SK,S7L,58,221,17.0,52.1564,-106.6873
3137,Saskatoon CMA,SK,S7L,92,164,14.0,52.1564,-106.6873
3138,Saskatoon CMA,SK,S7L,97,284,14.0,52.1564,-106.6873
3139,Saskatoon CMA,SK,S7L,92,462,14.0,52.1564,-106.6873
3140,Saskatoon CMA,SK,S7L,91,421,14.0,52.1564,-106.6873
3141,Saskatoon CMA,SK,S7L,91,226,14.0,52.1564,-106.6873
3142,Saskatoon CMA,SK,S7L,91,207,14.0,52.1564,-106.6873
3143,Saskatoon CMA,SK,S7L,98,156,14.0,52.1564,-106.6873
3144,Saskatoon CMA,SK,S7L,115,105,14.0,52.1564,-106.6873
3145,Saskatoon CMA,SK,S7L,91,181,14.0,52.1564,-106.6873
3146,Saskatoon CMA,SK,S7L,94,64,14.0,52.1564,-106.6873
3147,Saskatoon CMA,SK,S7M,93,96,47.0,52.1133,-106.7235
3148,Saskatoon CMA,SK,S7M,91,292,86.0,52.1133,-106.7235
3149,Saskatoon CMA,SK,S7M,95,161,14.0,52.1133,-106.7235
3150,Saskatoon CMA,SK,S7M,117,81,19.0,52.1133,-106.7235
3151,Saskatoon CMA,SK,S7M,92,77,32.0,52.1133,-106.7235
3152,Saskatoon CMA,SK,S7M,94,212,14.0,52.1133,-106.7235
3153,Saskatoon CMA,SK,S7M,98,138,14.0,52.1133,-106.7235
3154,Saskatoon CMA,SK,S7M,92,170,14.0,52.1133,-106.7235
3155,Saskatoon CMA,SK,S7M,61,221,22.0,52.1133,-106.7235
3156,Saskatoon CMA,SK,S7M,98,209,14.0,52.1133,-106.7235
3157,Saskatoon CMA,SK,S7M,95,186,14.0,52.1133,-106.7235
3158,Saskatoon CMA,SK,S7N,91,61,14.0,52.1404,-106.608
3159,Saskatoon CMA,SK,S7N,166,68,14.0,52.1404,-106.608
3160,Saskatoon CMA,SK,S7N,165,66,14.0,52.1404,-106.608
3161,Saskatoon CMA,SK,S7N,96,68,24.0,52.1404,-106.608
3162,Saskatoon CMA,SK,S7N,91,148,14.0,52.1404,-106.608
3163,Saskatoon CMA,SK,S7N,92,164,16.0,52.1404,-106.608
3164,Saskatoon CMA,SK,S7N,96,46,14.0,52.1404,-106.608
3165,Saskatoon CMA,SK,S7N,91,149,14.0,52.1404,-106.608
3166,Saskatoon CMA,SK,S7N,92,251,20.0,52.1404,-106.608
3167,Saskatoon CMA,SK,S7N,91,97,14.0,52.1404,-106.608
3168,Saskatoon CMA,SK,S7N,93,124,14.0,52.1404,-106.608
3169,Saskatoon CMA,SK,S7N,93,81,14.0,52.1404,-106.608
3170,Saskatoon CMA,SK,S7R,92,87,21.0,52.1588,-106.7163
3171,Saskatoon CMA,SK,S7R,104,42,14.0,52.1588,-106.7163
3172,Saskatoon CMA,SK,S7R,91,118,22.0,52.1588,-106.7163
3173,Saskatoon CMA,SK,S7S,91,87,14.0,52.1609,-106.5864
3174,Saskatoon CMA,SK,S7S,96,165,14.0,52.1609,-106.5864
3175,Saskatoon CMA,SK,S7S,92,136,14.0,52.1609,-106.5864
3176,Saskatoon CMA,SK,S7S,95,242,14.0,52.1609,-106.5864
3177,Saskatoon CMA,SK,S7S,93,100,14.0,52.1609,-106.5864
3178,Saskatoon CMA,SK,S7T,95,175,14.0,52.0403,-106.6595
3179,Saskatoon CMA,SK,S7T,99,192,14.0,52.0403,-106.6595
3180,Saskatoon CMA,SK,S7T,91,103,14.0,52.0403,-106.6595
3181,Saskatoon CMA,SK,S7V,91,48,14.0,52.0976,-106.5553
3182,Saskatoon CMA,SK,S7V,60,110,14.0,52.0976,-106.5553
3183,Saskatoon CMA,SK,S7V,91,270,14.0,52.0976,-106.5553
3184,Saskatoon CMA,SK,S7V,91,77,14.0,52.0976,-106.5553
3185,Saskatoon CMA,SK,S7V,96,127,14.0,52.0976,-106.5553
3186,Saskatoon CMA,SK,S7V,100,141,14.0,52.0976,-106.5553
3187,Saskatoon CMA,SK,S7W,90,188,14.0,52.157,-106.5614
3188,Saskatoon CMA,SK,S7W,91,108,20.0,52.157,-106.5614
3189,Saskatoon CMA,SK,S7W,92,213,14.0,52.157,-106.5614
3190,Saskatoon CMA,SK,S7W,91,155,14.0,52.157,-106.5614
